epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4903,0.858,1.44519,1.18729,0.74787,0.87047,0.82137,0.67525,0.72227,1.34218,1.03784,0.000551457,0.000551457,0.000551457
2,131.202,0.71029,0.80686,1.0782,0.79984,0.89803,0.83094,0.67595,0.7197,0.94363,1.03104,0.00109616,0.00109616,0.00109616
3,193.925,0.71597,0.69634,1.07147,0.76672,0.89361,0.78448,0.65166,0.64241,0.77818,0.99523,0.00162987,0.00162987,0.00162987
4,256.369,0.69763,0.63612,1.0643,0.76842,0.81109,0.84783,0.75143,0.50897,0.96186,0.92216,0.00161749,0.00161749,0.00161749
5,319.127,0.64922,0.59085,1.04091,0.81157,0.90461,0.86391,0.7676,0.53606,0.51686,0.91031,0.00160099,0.00160099,0.00160099
6,385.079,0.63188,0.56724,1.03517,0.80796,0.90596,0.8487,0.78754,0.4071,0.52357,0.86412,0.00158448,0.00158448,0.00158448
7,448.644,0.61003,0.55759,1.02583,0.81781,0.88217,0.83841,0.73812,0.57231,0.60992,0.93867,0.00156798,0.00156798,0.00156798
8,512.514,0.59287,0.53395,1.01421,0.81459,0.90132,0.7905,0.71995,0.44879,0.56088,0.86757,0.00155148,0.00155148,0.00155148
9,579.926,0.57368,0.52297,1.01048,0.8163,0.90048,0.85722,0.78095,0.43267,0.58273,0.85927,0.00153497,0.00153497,0.00153497
10,643.477,0.57144,0.51738,1.00715,0.81371,0.90378,0.84995,0.76388,0.42699,0.48137,0.86895,0.00151847,0.00151847,0.00151847
11,706.981,0.54799,0.49922,0.99775,0.81299,0.90301,0.87062,0.75939,0.53916,0.48072,0.90982,0.00150197,0.00150197,0.00150197
12,772.626,0.55165,0.50656,0.99844,0.81318,0.90378,0.83257,0.76074,0.42686,0.50961,0.86428,0.00148546,0.00148546,0.00148546
13,836.849,0.54118,0.49599,0.99742,0.80801,0.90543,0.85021,0.80065,0.37034,0.45568,0.84024,0.00146896,0.00146896,0.00146896
14,902.202,0.53352,0.49161,0.99099,0.80828,0.91201,0.89913,0.86885,0.31091,0.4497,0.81719,0.00145246,0.00145246,0.00145246
15,966.04,0.52504,0.48574,0.98938,0.82606,0.89813,0.87697,0.76022,0.61631,0.48264,0.93809,0.00143595,0.00143595,0.00143595
16,1029.02,0.50953,0.48274,0.98183,0.81674,0.90396,0.8239,0.77793,0.35202,0.50444,0.8308,0.00141945,0.00141945,0.00141945
17,1093.7,0.5046,0.47645,0.97727,0.83494,0.90769,0.88261,0.80769,0.41975,0.455,0.84111,0.00140295,0.00140295,0.00140295
18,1156.49,0.50286,0.45815,0.97525,0.82985,0.91945,0.88533,0.81677,0.36971,0.40611,0.83359,0.00138644,0.00138644,0.00138644
19,1220.21,0.49927,0.45379,0.97171,0.85302,0.90066,0.86073,0.81281,0.36433,0.46042,0.8315,0.00136994,0.00136994,0.00136994
20,1286.14,0.48727,0.45091,0.96974,0.84878,0.92288,0.92091,0.86898,0.34679,0.38272,0.8203,0.00135344,0.00135344,0.00135344
21,1349.88,0.48616,0.45196,0.97006,0.83732,0.86562,0.91722,0.82682,0.42826,0.43747,0.85727,0.00133693,0.00133693,0.00133693
22,1413.13,0.4942,0.4539,0.97574,0.85679,0.89792,0.93643,0.85855,0.38591,0.41693,0.84774,0.00132043,0.00132043,0.00132043
23,1477.49,0.4747,0.43169,0.96471,0.86029,0.90832,0.90877,0.87749,0.29488,0.42251,0.79765,0.00130393,0.00130393,0.00130393
24,1539.46,0.47268,0.43871,0.96165,0.86885,0.91318,0.94152,0.91938,0.26126,0.33651,0.78557,0.00128742,0.00128742,0.00128742
25,1601.92,0.47052,0.43099,0.96323,0.88859,0.91308,0.95073,0.91895,0.31342,0.34637,0.81383,0.00127092,0.00127092,0.00127092
26,1666.31,0.4781,0.43039,0.96831,0.88415,0.91592,0.91913,0.87619,0.29466,0.34697,0.80196,0.00125442,0.00125442,0.00125442
27,1729.36,0.461,0.41813,0.96145,0.86801,0.91741,0.93349,0.91179,0.26124,0.37894,0.78717,0.00123791,0.00123791,0.00123791
28,1792.78,0.45671,0.42655,0.95714,0.84116,0.9018,0.90836,0.86344,0.31182,0.43985,0.81132,0.00122141,0.00122141,0.00122141
29,1857.28,0.45487,0.41648,0.95336,0.9057,0.92182,0.93232,0.90999,0.26796,0.3169,0.78629,0.00120491,0.00120491,0.00120491
30,1920.53,0.45154,0.41443,0.95743,0.87823,0.90762,0.94168,0.90327,0.28568,0.34744,0.79277,0.0011884,0.0011884,0.0011884
31,1983.55,0.44634,0.40804,0.95302,0.85659,0.91968,0.95003,0.9222,0.27621,0.36104,0.79387,0.0011719,0.0011719,0.0011719
32,2048.98,0.45046,0.407,0.954,0.87241,0.88721,0.92194,0.87766,0.3402,0.38433,0.81838,0.0011554,0.0011554,0.0011554
33,2112.23,0.44698,0.41323,0.95114,0.83572,0.9227,0.90745,0.85733,0.32869,0.41988,0.80792,0.00113889,0.00113889,0.00113889
34,2174.67,0.43857,0.40052,0.95076,0.88086,0.88993,0.92787,0.90577,0.27501,0.34857,0.79192,0.00112239,0.00112239,0.00112239
35,2236.56,0.43276,0.38988,0.94962,0.8961,0.93559,0.92313,0.89426,0.28908,0.31497,0.79621,0.00110589,0.00110589,0.00110589
36,2299.73,0.44192,0.40189,0.94877,0.88762,0.93669,0.93693,0.911,0.28413,0.30602,0.79368,0.00108938,0.00108938,0.00108938
37,2362.65,0.43375,0.39665,0.94701,0.87811,0.93168,0.92415,0.9001,0.2841,0.34028,0.79628,0.00107288,0.00107288,0.00107288
38,2427.9,0.43239,0.3816,0.9483,0.90875,0.9113,0.95536,0.92363,0.29078,0.31317,0.79404,0.00105638,0.00105638,0.00105638
39,2492.41,0.43619,0.39142,0.94939,0.89696,0.90013,0.94298,0.92546,0.24372,0.35765,0.77634,0.00103987,0.00103987,0.00103987
40,2556.43,0.4272,0.3789,0.94778,0.91498,0.88515,0.95986,0.91807,0.32135,0.3211,0.80538,0.00102337,0.00102337,0.00102337
41,2620.73,0.42699,0.38079,0.94587,0.93536,0.9014,0.96943,0.9441,0.27916,0.27053,0.78923,0.00100687,0.00100687,0.00100687
42,2684.59,0.42648,0.37554,0.94771,0.92321,0.88676,0.97444,0.95195,0.26994,0.32444,0.78283,0.000990365,0.000990365,0.000990365
43,2748.07,0.41898,0.37434,0.94002,0.92905,0.88913,0.96509,0.94018,0.26777,0.30596,0.78598,0.000973861,0.000973861,0.000973861
